Event Generated Time (UTC),Event ID,Event Description,Event Category,Threat Target IPv4 Address,Action Taken,Agent GUID
7/30/13 10:53:33 PM,18000,Host intrusion detected and handled,File system,12.205.21.11,Permitted,49344B9D-BEF0-4DFC-9D0D-DDF113EF7360
7/30/13 10:53:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:53:12 PM,1059,Scan Timed Out,Operational,12.205.13.102,None,DDB992D4-FC2D-4B88-8282-469566BE1E79
7/30/13 10:52:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:52:01 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 10:52:00 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 10:51:42 PM,1059,Scan Timed Out,Operational,104.12.13.103,None,68A97A6B-2FCC-48B4-A9D3-7D86016C4926
7/30/13 10:51:41 PM,1059,Scan Timed Out,Operational,104.12.13.103,None,68A97A6B-2FCC-48B4-A9D3-7D86016C4926
7/30/13 10:51:29 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 10:51:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:51:17 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 10:50:55 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 10:50:55 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
