Event Generated Time (UTC),Event ID,Event Description,Event Category,Threat Target IPv4 Address,Action Taken,Agent GUID
7/30/13 11:15:56 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:15:31 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:15:29 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:15:26 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:15:19 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:14:31 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:14:20 PM,18000,Host intrusion detected and handled,Program,144.170.31.102,Permitted,B8ACDDCA-E914-4A13-AF19-806599A961DF
7/30/13 11:14:19 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 11:14:18 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 11:14:08 PM,18000,Host intrusion detected and handled,Program,144.170.32.101,Permitted,E179BEA0-FF58-4362-A0D5-6BFE917ACD0F
7/30/13 11:14:04 PM,1059,Scan Timed Out,Operational,104.12.13.104,None,1D093986-5BC0-4DC5-A10F-286FD2BB4ECF
7/30/13 11:14:01 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:13:48 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 11:13:48 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 11:13:44 PM,18000,Host intrusion detected and handled,Registry,12.205.21.13,Permitted,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:13:31 PM,18000,Host intrusion detected and handled,Registry,12.205.21.11,Permitted,49344B9D-BEF0-4DFC-9D0D-DDF113EF7360
7/30/13 11:13:31 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:13:30 PM,18000,Host intrusion detected and handled,Registry,12.205.21.11,Permitted,49344B9D-BEF0-4DFC-9D0D-DDF113EF7360
7/30/13 11:13:00 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:12:58 PM,1059,Scan Timed Out,Operational,104.12.13.104,None,1D093986-5BC0-4DC5-A10F-286FD2BB4ECF
7/30/13 11:12:55 PM,1059,Scan Timed Out,Operational,104.12.15.103,None,F1DBD394-04EA-47FF-A73A-C13E35CFDC42
7/30/13 11:12:31 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:11:54 PM,1059,Scan Timed Out,Operational,104.12.15.103,None,F1DBD394-04EA-47FF-A73A-C13E35CFDC42
7/30/13 11:11:34 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:11:32 PM,1059,Scan Timed Out,Operational,144.170.33.104,None,5952AB45-BD98-4EF5-8149-2B400F45F696
7/30/13 11:11:31 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:11:19 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:11:01 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:10:59 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 11:10:59 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 11:10:47 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:10:31 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:10:28 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:09:39 PM,1059,Scan Timed Out,Operational,12.205.13.107,None,AD898BE9-C646-4C8A-B293-7290A828F96B
7/30/13 11:09:31 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:09:17 PM,18000,Host intrusion detected and handled,Program,12.205.15.106,Permitted,7C84F4CD-2B59-4EF6-834A-B34D69B1F0E3
7/30/13 11:09:17 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 11:09:16 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 11:09:11 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 11:09:01 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:08:48 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 11:08:47 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 11:08:43 PM,18000,Host intrusion detected and handled,Registry,12.205.21.13,Permitted,53AC0026-0062-405A-B3A5-3DE5F03ACF24
